;Y_r;Y_A;Y_F;E_ac;t_v_DC;CF;PR
Jan;0.3682621426943261;0.31302282129017717;0.30864050179211466;86.1107;9.567855555555555;0.30864050179211466;0.8380999999999998
Feb;0.9291334088494332;0.8176373997875012;0.8061904761904761;203.16;22.573333333333334;0.8061904761904762;0.8676799999999999
Mar;2.3610560737441086;2.1013399056322566;2.071921146953405;578.066;64.22955555555556;2.071921146953405;0.87754
Apr;4.0931977729363345;3.6838779956427015;3.6323037037037036;980.722;108.9691111111111;3.6323037037037036;0.8874000000000001
May;4.655950968847651;4.236915381651363;4.1775985663082436;1165.55;129.50555555555556;4.1775985663082436;0.8972600000000001
Jun;5.108309165104297;4.64856134024491;4.583481481481481;1237.54;137.50444444444443;4.583481481481481;0.8972600000000001
Jul;4.630305389318672;4.213577904279992;4.154587813620072;1159.13;128.79222222222222;4.154587813620072;0.8972600000000001
Aug;3.785103785103785;3.4444444444444446;3.3962222222222223;947.546;105.28288888888889;3.3962222222222223;0.8972600000000001
Sep;2.896881122033252;2.6361618210502593;2.5992555555555557;701.799;77.97766666666666;2.5992555555555557;0.89726
Oct;1.1273123148181505;1.003307960188154;0.9892616487455198;276.004;30.66711111111111;0.9892616487455197;0.87754
Nov;0.45779266478247616;0.39827961836075426;0.3927037037037037;106.03;11.78111111111111;0.39270370370370367;0.85782
Dec;0.2057279046257714;0.16869688179313252;0.16633512544802867;46.4075;5.1563888888888885;0.16633512544802867;0.8085199999999999
Yearly;2.604887469745472;2.3118376293991068;2.2794719025875194;7488.065200000001;832.0072444444445;2.279471902587519;0.8750750000000002
