"Time stamp,""Irradiance GHI calculated | (W/m2)""";;;;MONTH;DATE;TIME;VALUES GHI;;;;MONTH;DATE;TIME;VALUES GHI;;;;;
Jan 1, 12:00 am,0;;Jan 1;;Jan;1;12:00 am; 0 ;;;;Jan;1;12:00 am; 0 ;;;;;
Jan 1, 01:00 am,0;;Jan 1;;Jan;1;01:00 am; 0 ;;;;Jan;1;01:00 am; 0 ;;;;Row Labels;Count of VALUES GHI
Jan 1, 02:00 am,0;;Jan 1;;Jan;1;02:00 am; 0 ;;;;Jan;1;02:00 am; 0 ;;;;Jan;744
Jan 1, 03:00 am,0;;Jan 1;;Jan;1;03:00 am; 0 ;;;;Jan;1;03:00 am; 0 ;;;;Feb;672
Jan 1, 04:00 am,0;;Jan 1;;Jan;1;04:00 am; 0 ;;;;Jan;1;04:00 am; 0 ;;;;Mar;744
Jan 1, 05:00 am,0;;Jan 1;;Jan;1;05:00 am; 0 ;;;;Jan;1;05:00 am; 0 ;;;;Apr;720
Jan 1, 06:00 am,0;;Jan 1;;Jan;1;06:00 am; 0 ;;;;Jan;1;06:00 am; 0 ;;;;Jun;720
Jan 1, 07:00 am,0;;Jan 1;;Jan;1;07:00 am; 0 ;;;;Jan;1;07:00 am; 0 ;;;;Jul;744
Jan 1, 08:00 am,0;;Jan 1;;Jan;1;08:00 am; 0 ;;;;Jan;1;08:00 am; 0 ;;;;Aug;744
Jan 1, 09:00 am,4;;Jan 1;;Jan;1;09:00 am; 4 ;;;;Jan;1;09:00 am; 4 ;;;;Sep;720
Jan 1, 10:00 am,5;;Jan 1;;Jan;1;10:00 am; 5 ;;;;Jan;1;10:00 am; 5 ;;;;Nov;720
Jan 1, 11:00 am,3;;Jan 1;;Jan;1;11:00 am; 3 ;;;;Jan;1;11:00 am; 3 ;;;;Dec;744
Jan 1, 12:00 pm,4;;Jan 1;;Jan;1;12:00 pm; 4 ;;;;Jan;1;12:00 pm; 4 ;;;;May;744
Jan 1, 01:00 pm,3;;Jan 1;;Jan;1;01:00 pm; 3 ;;;;Jan;1;01:00 pm; 3 ;;;;Oct;744
Jan 1, 02:00 pm,6;;Jan 1;;Jan;1;02:00 pm; 6 ;;;;Jan;1;02:00 pm; 6 ;;;;Grand Total;8760
Jan 1, 03:00 pm,4;;Jan 1;;Jan;1;03:00 pm; 4 ;;;;Jan;1;03:00 pm; 4 ;;;;;
Jan 1, 04:00 pm,0;;Jan 1;;Jan;1;04:00 pm; 0 ;;;;Jan;1;04:00 pm; 0 ;;;;;
Jan 1, 05:00 pm,0;;Jan 1;;Jan;1;05:00 pm; 0 ;;;;Jan;1;05:00 pm; 0 ;;;;;
Jan 1, 06:00 pm,0;;Jan 1;;Jan;1;06:00 pm; 0 ;;;;Jan;1;06:00 pm; 0 ;;;;;
Jan 1, 07:00 pm,0;;Jan 1;;Jan;1;07:00 pm; 0 ;;;;Jan;1;07:00 pm; 0 ;;;;;
Jan 1, 08:00 pm,0;;Jan 1;;Jan;1;08:00 pm; 0 ;;;;Jan;1;08:00 pm; 0 ;;;;;
Jan 1, 09:00 pm,0;;Jan 1;;Jan;1;09:00 pm; 0 ;;;;Jan;1;09:00 pm; 0 ;;;;;
Jan 1, 10:00 pm,0;;Jan 1;;Jan;1;10:00 pm; 0 ;;;;Jan;1;10:00 pm; 0 ;;;;;
Jan 1, 11:00 pm,0;;Jan 1;;Jan;1;11:00 pm; 0 ;;;;Jan;1;11:00 pm; 0 ;;;;;
