"Time stamp","Irradiance GHI from weather file | (W/m2)","System power generated | (kW)"
"Jan 1, 12:00 am",0,-1.90284
"Jan 1, 01:00 am",0,-1.90284
"Jan 1, 02:00 am",0,-1.90284
"Jan 1, 03:00 am",0,-1.90284
"Jan 1, 04:00 am",0,-1.90284
"Jan 1, 05:00 am",0,-1.90284
"Jan 1, 06:00 am",0,-1.90284
"Jan 1, 07:00 am",0,-1.90284
"Jan 1, 08:00 am",0,-1.90284
"Jan 1, 09:00 am",8,139.232
"Jan 1, 10:00 am",9,405.363
"Jan 1, 11:00 am",3,-1.90284
"Jan 1, 12:00 pm",3,-1.90284
"Jan 1, 01:00 pm",3,-1.90284
"Jan 1, 02:00 pm",12,602.835
"Jan 1, 03:00 pm",5,-1.90284
"Jan 1, 04:00 pm",0,-1.90284
"Jan 1, 05:00 pm",0,-1.90284
"Jan 1, 06:00 pm",0,-1.90284
"Jan 1, 07:00 pm",0,-1.90284
"Jan 1, 08:00 pm",0,-1.90284
"Jan 1, 09:00 pm",0,-1.90284
"Jan 1, 10:00 pm",0,-1.90284
"Jan 1, 11:00 pm",0,-1.90284
"Jan 2, 12:00 am",0,-1.90284
"Jan 2, 01:00 am",0,-1.90284
"Jan 2, 02:00 am",0,-1.90284
"Jan 2, 03:00 am",0,-1.90284
"Jan 2, 04:00 am",0,-1.90284
"Jan 2, 05:00 am",0,-1.90284
"Jan 2, 06:00 am",0,-1.90284
"Jan 2, 07:00 am",0,-1.90284
"Jan 2, 08:00 am",0,-1.90284
"Jan 2, 09:00 am",3,-1.90284
"Jan 2, 10:00 am",5,100.607
"Jan 2, 11:00 am",14,800.554
"Jan 2, 12:00 pm",4,32.8609
"Jan 2, 01:00 pm",3,-1.90284
"Jan 2, 02:00 pm",12,597.253
"Jan 2, 03:00 pm",4,-1.90284
"Jan 2, 04:00 pm",0,-1.90284
"Jan 2, 05:00 pm",0,-1.90284
"Jan 2, 06:00 pm",0,-1.90284
"Jan 2, 07:00 pm",0,-1.90284
"Jan 2, 08:00 pm",0,-1.90284
"Jan 2, 09:00 pm",0,-1.90284
"Jan 2, 10:00 pm",0,-1.90284
"Jan 2, 11:00 pm",0,-1.90284
"Jan 3, 12:00 am",0,-1.90284
"Jan 3, 01:00 am",0,-1.90284
"Jan 3, 02:00 am",0,-1.90284
"Jan 3, 03:00 am",0,-1.90284
"Jan 3, 04:00 am",0,-1.90284
"Jan 3, 05:00 am",0,-1.90284
"Jan 3, 06:00 am",0,-1.90284
"Jan 3, 07:00 am",0,-1.90284
"Jan 3, 08:00 am",0,-1.90284
"Jan 3, 09:00 am",4,-1.90284
"Jan 3, 10:00 am",9,403.719
"Jan 3, 11:00 am",5,108.621
"Jan 3, 12:00 pm",6,184.592
"Jan 3, 01:00 pm",6,180.913
"Jan 3, 02:00 pm",6,161.784
"Jan 3, 03:00 pm",9,177.634
"Jan 3, 04:00 pm",0,-1.90284
"Jan 3, 05:00 pm",0,-1.90284
"Jan 3, 06:00 pm",0,-1.90284
"Jan 3, 07:00 pm",0,-1.90284
"Jan 3, 08:00 pm",0,-1.90284
"Jan 3, 09:00 pm",0,-1.90284
"Jan 3, 10:00 pm",0,-1.90284
"Jan 3, 11:00 pm",0,-1.90284
"Jan 4, 12:00 am",0,-1.90284
"Jan 4, 01:00 am",0,-1.90284
"Jan 4, 02:00 am",0,-1.90284
"Jan 4, 03:00 am",0,-1.90284
"Jan 4, 04:00 am",0,-1.90284
"Jan 4, 05:00 am",0,-1.90284
"Jan 4, 06:00 am",0,-1.90284
"Jan 4, 07:00 am",0,-1.90284
"Jan 4, 08:00 am",0,-1.90284
"Jan 4, 09:00 am",5,7.48493
"Jan 4, 10:00 am",9,413.502
"Jan 4, 11:00 am",3,-1.90284
"Jan 4, 12:00 pm",3,-1.90284
"Jan 4, 01:00 pm",3,-1.90284
"Jan 4, 02:00 pm",15,851.892
"Jan 4, 03:00 pm",7,86.5128
"Jan 4, 04:00 pm",0,-1.90284
"Jan 4, 05:00 pm",0,-1.90284
"Jan 4, 06:00 pm",0,-1.90284
"Jan 4, 07:00 pm",0,-1.90284
"Jan 4, 08:00 pm",0,-1.90284
"Jan 4, 09:00 pm",0,-1.90284
"Jan 4, 10:00 pm",0,-1.90284
"Jan 4, 11:00 pm",0,-1.90284
"Jan 5, 12:00 am",0,-1.90284
"Jan 5, 01:00 am",0,-1.90284
"Jan 5, 02:00 am",0,-1.90284
"Jan 5, 03:00 am",0,-1.90284
"Jan 5, 04:00 am",0,-1.90284
"Jan 5, 05:00 am",0,-1.90284
"Jan 5, 06:00 am",0,-1.90284
"Jan 5, 07:00 am",0,-1.90284
"Jan 5, 08:00 am",0,-1.90284
"Jan 5, 09:00 am",10,293.607
"Jan 5, 10:00 am",13,724.24
"Jan 5, 11:00 am",20,1303.23
"Jan 5, 12:00 pm",3,-1.90284
"Jan 5, 01:00 pm",3,-1.90284
"Jan 5, 02:00 pm",17,1005.18
"Jan 5, 03:00 pm",5,-1.90284
"Jan 5, 04:00 pm",0,-1.90284
"Jan 5, 05:00 pm",0,-1.90284
"Jan 5, 06:00 pm",0,-1.90284
"Jan 5, 07:00 pm",0,-1.90284
"Jan 5, 08:00 pm",0,-1.90284
"Jan 5, 09:00 pm",0,-1.90284
"Jan 5, 10:00 pm",0,-1.90284
"Jan 5, 11:00 pm",0,-1.90284
"Jan 6, 12:00 am",0,-1.90284
"Jan 6, 01:00 am",0,-1.90284
"Jan 6, 02:00 am",0,-1.90284
"Jan 6, 03:00 am",0,-1.90284
"Jan 6, 04:00 am",0,-1.90284
"Jan 6, 05:00 am",0,-1.90284
"Jan 6, 06:00 am",0,-1.90284
"Jan 6, 07:00 am",0,-1.90284
"Jan 6, 08:00 am",0,-1.90284
"Jan 6, 09:00 am",37,9015.69
"Jan 6, 10:00 am",110,27198.9
"Jan 6, 11:00 am",165,36270.2
"Jan 6, 12:00 pm",182,38008.4
"Jan 6, 01:00 pm",163,34312
"Jan 6, 02:00 pm",110,23248.7
"Jan 6, 03:00 pm",39,4839.53
"Jan 6, 04:00 pm",0,-1.90284
"Jan 6, 05:00 pm",0,-1.90284
"Jan 6, 06:00 pm",0,-1.90284
"Jan 6, 07:00 pm",0,-1.90284
"Jan 6, 08:00 pm",0,-1.90284
"Jan 6, 09:00 pm",0,-1.90284
"Jan 6, 10:00 pm",0,-1.90284
"Jan 6, 11:00 pm",0,-1.90284
"Jan 7, 12:00 am",0,-1.90284
"Jan 7, 01:00 am",0,-1.90284
"Jan 7, 02:00 am",0,-1.90284
"Jan 7, 03:00 am",0,-1.90284
"Jan 7, 04:00 am",0,-1.90284
"Jan 7, 05:00 am",0,-1.90284
"Jan 7, 06:00 am",0,-1.90284
"Jan 7, 07:00 am",0,-1.90284
"Jan 7, 08:00 am",0,-1.90284
"Jan 7, 09:00 am",4,-1.90284
"Jan 7, 10:00 am",14,814.714
"Jan 7, 11:00 am",5,117.515
"Jan 7, 12:00 pm",6,196.215
"Jan 7, 01:00 pm",3,-1.90284
"Jan 7, 02:00 pm",4,30.2287
"Jan 7, 03:00 pm",3,-1.90284
"Jan 7, 04:00 pm",0,-1.90284
"Jan 7, 05:00 pm",0,-1.90284
"Jan 7, 06:00 pm",0,-1.90284
"Jan 7, 07:00 pm",0,-1.90284
"Jan 7, 08:00 pm",0,-1.90284
"Jan 7, 09:00 pm",0,-1.90284
"Jan 7, 10:00 pm",0,-1.90284
"Jan 7, 11:00 pm",0,-1.90284
"Jan 8, 12:00 am",0,-1.90284
"Jan 8, 01:00 am",0,-1.90284
"Jan 8, 02:00 am",0,-1.90284
"Jan 8, 03:00 am",0,-1.90284
"Jan 8, 04:00 am",0,-1.90284
"Jan 8, 05:00 am",0,-1.90284
"Jan 8, 06:00 am",0,-1.90284
"Jan 8, 07:00 am",0,-1.90284
"Jan 8, 08:00 am",0,-1.90284
"Jan 8, 09:00 am",5,34.9473
"Jan 8, 10:00 am",11,575.418
"Jan 8, 11:00 am",4,40.395
"Jan 8, 12:00 pm",6,194.92
"Jan 8, 01:00 pm",11,581.645
"Jan 8, 02:00 pm",14,784.761
"Jan 8, 03:00 pm",36,2885.48
"Jan 8, 04:00 pm",0,-1.90284
"Jan 8, 05:00 pm",0,-1.90284
"Jan 8, 06:00 pm",0,-1.90284
"Jan 8, 07:00 pm",0,-1.90284
"Jan 8, 08:00 pm",0,-1.90284
"Jan 8, 09:00 pm",0,-1.90284
"Jan 8, 10:00 pm",0,-1.90284
"Jan 8, 11:00 pm",0,-1.90284
"Jan 9, 12:00 am",0,-1.90284
"Jan 9, 01:00 am",0,-1.90284
"Jan 9, 02:00 am",0,-1.90284
"Jan 9, 03:00 am",0,-1.90284
"Jan 9, 04:00 am",0,-1.90284
"Jan 9, 05:00 am",0,-1.90284
"Jan 9, 06:00 am",0,-1.90284
"Jan 9, 07:00 am",0,-1.90284
"Jan 9, 08:00 am",0,-1.90284
"Jan 9, 09:00 am",4,-1.90284
"Jan 9, 10:00 am",3,-1.90284
"Jan 9, 11:00 am",3,-1.90284
"Jan 9, 12:00 pm",5,117.499
"Jan 9, 01:00 pm",4,38.8479
"Jan 9, 02:00 pm",3,-1.90284
"Jan 9, 03:00 pm",5,-1.90284
"Jan 9, 04:00 pm",0,-1.90284
"Jan 9, 05:00 pm",0,-1.90284
"Jan 9, 06:00 pm",0,-1.90284
"Jan 9, 07:00 pm",0,-1.90284
"Jan 9, 08:00 pm",0,-1.90284
"Jan 9, 09:00 pm",0,-1.90284
"Jan 9, 10:00 pm",0,-1.90284
"Jan 9, 11:00 pm",0,-1.90284
"Jan 10, 12:00 am",0,-1.90284
"Jan 10, 01:00 am",0,-1.90284
"Jan 10, 02:00 am",0,-1.90284
"Jan 10, 03:00 am",0,-1.90284
"Jan 10, 04:00 am",0,-1.90284
"Jan 10, 05:00 am",0,-1.90284
"Jan 10, 06:00 am",0,-1.90284
"Jan 10, 07:00 am",0,-1.90284
"Jan 10, 08:00 am",0,-1.90284
"Jan 10, 09:00 am",11,436.357
"Jan 10, 10:00 am",20,1299.84
"Jan 10, 11:00 am",48,3801.76
"Jan 10, 12:00 pm",183,37542.2
"Jan 10, 01:00 pm",163,32420.7
"Jan 10, 02:00 pm",114,22596.4
"Jan 10, 03:00 pm",44,5460.76
"Jan 10, 04:00 pm",0,-1.90284
"Jan 10, 05:00 pm",0,-1.90284
"Jan 10, 06:00 pm",0,-1.90284
"Jan 10, 07:00 pm",0,-1.90284
"Jan 10, 08:00 pm",0,-1.90284
"Jan 10, 09:00 pm",0,-1.90284
"Jan 10, 10:00 pm",0,-1.90284
"Jan 10, 11:00 pm",0,-1.90284
"Jan 11, 12:00 am",0,-1.90284
"Jan 11, 01:00 am",0,-1.90284
"Jan 11, 02:00 am",0,-1.90284
"Jan 11, 03:00 am",0,-1.90284
"Jan 11, 04:00 am",0,-1.90284
"Jan 11, 05:00 am",0,-1.90284
"Jan 11, 06:00 am",0,-1.90284
"Jan 11, 07:00 am",0,-1.90284
"Jan 11, 08:00 am",0,-1.90284
"Jan 11, 09:00 am",8,253.427
"Jan 11, 10:00 am",4,37.9253
"Jan 11, 11:00 am",6,196.116
"Jan 11, 12:00 pm",6,196.462
"Jan 11, 01:00 pm",6,193.951
"Jan 11, 02:00 pm",3,-1.90284
"Jan 11, 03:00 pm",5,-1.90284
"Jan 11, 04:00 pm",0,-1.90284
"Jan 11, 05:00 pm",0,-1.90284
"Jan 11, 06:00 pm",0,-1.90284
"Jan 11, 07:00 pm",0,-1.90284
"Jan 11, 08:00 pm",0,-1.90284
"Jan 11, 09:00 pm",0,-1.90284
"Jan 11, 10:00 pm",0,-1.90284
"Jan 11, 11:00 pm",0,-1.90284
"Jan 12, 12:00 am",0,-1.90284
"Jan 12, 01:00 am",0,-1.90284
"Jan 12, 02:00 am",0,-1.90284
"Jan 12, 03:00 am",0,-1.90284
"Jan 12, 04:00 am",0,-1.90284
"Jan 12, 05:00 am",0,-1.90284
"Jan 12, 06:00 am",0,-1.90284
"Jan 12, 07:00 am",0,-1.90284
"Jan 12, 08:00 am",0,-1.90284
"Jan 12, 09:00 am",41,9578.01
"Jan 12, 10:00 am",4,36.531
"Jan 12, 11:00 am",6,193.762
"Jan 12, 12:00 pm",188,38402.8
"Jan 12, 01:00 pm",32,2297.01
"Jan 12, 02:00 pm",4,31.135
"Jan 12, 03:00 pm",48,5974.02
"Jan 12, 04:00 pm",0,-1.90284
"Jan 12, 05:00 pm",0,-1.90284
"Jan 12, 06:00 pm",0,-1.90284
"Jan 12, 07:00 pm",0,-1.90284
"Jan 12, 08:00 pm",0,-1.90284
"Jan 12, 09:00 pm",0,-1.90284
"Jan 12, 10:00 pm",0,-1.90284
"Jan 12, 11:00 pm",0,-1.90284
"Jan 13, 12:00 am",0,-1.90284
"Jan 13, 01:00 am",0,-1.90284
"Jan 13, 02:00 am",0,-1.90284
"Jan 13, 03:00 am",0,-1.90284
"Jan 13, 04:00 am",0,-1.90284
"Jan 13, 05:00 am",0,-1.90284
"Jan 13, 06:00 am",0,-1.90284
"Jan 13, 07:00 am",0,-1.90284
"Jan 13, 08:00 am",0,-1.90284
"Jan 13, 09:00 am",4,-1.90284
"Jan 13, 10:00 am",3,-1.90284
"Jan 13, 11:00 am",17,1051.47
"Jan 13, 12:00 pm",3,-1.90284
"Jan 13, 01:00 pm",3,-1.90284
"Jan 13, 02:00 pm",3,-1.90284
"Jan 13, 03:00 pm",12,313.728
"Jan 13, 04:00 pm",0,-1.90284
"Jan 13, 05:00 pm",0,-1.90284
"Jan 13, 06:00 pm",0,-1.90284
"Jan 13, 07:00 pm",0,-1.90284
"Jan 13, 08:00 pm",0,-1.90284
"Jan 13, 09:00 pm",0,-1.90284
"Jan 13, 10:00 pm",0,-1.90284
"Jan 13, 11:00 pm",0,-1.90284
"Jan 14, 12:00 am",0,-1.90284
"Jan 14, 01:00 am",0,-1.90284
"Jan 14, 02:00 am",0,-1.90284
"Jan 14, 03:00 am",0,-1.90284
"Jan 14, 04:00 am",0,-1.90284
"Jan 14, 05:00 am",0,-1.90284
"Jan 14, 06:00 am",0,-1.90284
"Jan 14, 07:00 am",0,-1.90284
"Jan 14, 08:00 am",0,-1.90284
"Jan 14, 09:00 am",42,8812.5
"Jan 14, 10:00 am",118,25872.3
"Jan 14, 11:00 am",178,36851.4
"Jan 14, 12:00 pm",200,40139.5
"Jan 14, 01:00 pm",185,36577.5
"Jan 14, 02:00 pm",132,25837.7
"Jan 14, 03:00 pm",57,6858.89
"Jan 14, 04:00 pm",0,-1.90284
"Jan 14, 05:00 pm",0,-1.90284
"Jan 14, 06:00 pm",0,-1.90284
"Jan 14, 07:00 pm",0,-1.90284
"Jan 14, 08:00 pm",0,-1.90284
"Jan 14, 09:00 pm",0,-1.90284
"Jan 14, 10:00 pm",0,-1.90284
"Jan 14, 11:00 pm",0,-1.90284
"Jan 15, 12:00 am",0,-1.90284
"Jan 15, 01:00 am",0,-1.90284
"Jan 15, 02:00 am",0,-1.90284
"Jan 15, 03:00 am",0,-1.90284
"Jan 15, 04:00 am",0,-1.90284
"Jan 15, 05:00 am",0,-1.90284
"Jan 15, 06:00 am",0,-1.90284
"Jan 15, 07:00 am",0,-1.90284
"Jan 15, 08:00 am",0,-1.90284
"Jan 15, 09:00 am",5,76.3766
"Jan 15, 10:00 am",7,267.55
"Jan 15, 11:00 am",175,35630
"Jan 15, 12:00 pm",57,4543.09
"Jan 15, 01:00 pm",20,1316.13
"Jan 15, 02:00 pm",6,185.425
"Jan 15, 03:00 pm",5,-1.90284
"Jan 15, 04:00 pm",0,-1.90284
"Jan 15, 05:00 pm",0,-1.90284
"Jan 15, 06:00 pm",0,-1.90284
"Jan 15, 07:00 pm",0,-1.90284
"Jan 15, 08:00 pm",0,-1.90284
"Jan 15, 09:00 pm",0,-1.90284
"Jan 15, 10:00 pm",0,-1.90284
"Jan 15, 11:00 pm",0,-1.90284
"Jan 16, 12:00 am",0,-1.90284
"Jan 16, 01:00 am",0,-1.90284
"Jan 16, 02:00 am",0,-1.90284
"Jan 16, 03:00 am",0,-1.90284
"Jan 16, 04:00 am",0,-1.90284
"Jan 16, 05:00 am",0,-1.90284
"Jan 16, 06:00 am",0,-1.90284
"Jan 16, 07:00 am",0,-1.90284
"Jan 16, 08:00 am",0,-1.90284
"Jan 16, 09:00 am",5,78.3168
"Jan 16, 10:00 am",4,36.4426
"Jan 16, 11:00 am",4,39.6985
"Jan 16, 12:00 pm",44,3233.1
"Jan 16, 01:00 pm",20,1306.15
"Jan 16, 02:00 pm",5,106.18
"Jan 16, 03:00 pm",56,6564.99
"Jan 16, 04:00 pm",0,-1.90284
"Jan 16, 05:00 pm",0,-1.90284
"Jan 16, 06:00 pm",0,-1.90284
"Jan 16, 07:00 pm",0,-1.90284
"Jan 16, 08:00 pm",0,-1.90284
"Jan 16, 09:00 pm",0,-1.90284
"Jan 16, 10:00 pm",0,-1.90284
"Jan 16, 11:00 pm",0,-1.90284
"Jan 17, 12:00 am",0,-1.90284
"Jan 17, 01:00 am",0,-1.90284
"Jan 17, 02:00 am",0,-1.90284
"Jan 17, 03:00 am",0,-1.90284
"Jan 17, 04:00 am",0,-1.90284
"Jan 17, 05:00 am",0,-1.90284
"Jan 17, 06:00 am",0,-1.90284
"Jan 17, 07:00 am",0,-1.90284
"Jan 17, 08:00 am",0,-1.90284
"Jan 17, 09:00 am",51,12347.9
"Jan 17, 10:00 am",131,29129.6
"Jan 17, 11:00 am",188,38581.1
"Jan 17, 12:00 pm",211,41506.1
"Jan 17, 01:00 pm",194,37618.6
"Jan 17, 02:00 pm",140,26901.6
"Jan 17, 03:00 pm",64,7576.67
"Jan 17, 04:00 pm",0,-1.90284
"Jan 17, 05:00 pm",0,-1.90284
"Jan 17, 06:00 pm",0,-1.90284
"Jan 17, 07:00 pm",0,-1.90284
"Jan 17, 08:00 pm",0,-1.90284
"Jan 17, 09:00 pm",0,-1.90284
"Jan 17, 10:00 pm",0,-1.90284
"Jan 17, 11:00 pm",0,-1.90284
"Jan 18, 12:00 am",0,-1.90284
"Jan 18, 01:00 am",0,-1.90284
"Jan 18, 02:00 am",0,-1.90284
"Jan 18, 03:00 am",0,-1.90284
"Jan 18, 04:00 am",0,-1.90284
"Jan 18, 05:00 am",0,-1.90284
"Jan 18, 06:00 am",0,-1.90284
"Jan 18, 07:00 am",0,-1.90284
"Jan 18, 08:00 am",0,-1.90284
"Jan 18, 09:00 am",9,373.45
"Jan 18, 10:00 am",20,1299.24
"Jan 18, 11:00 am",28,1970.31
"Jan 18, 12:00 pm",36,2636.62
"Jan 18, 01:00 pm",47,3543.68
"Jan 18, 02:00 pm",48,3798.77
"Jan 18, 03:00 pm",28,1381.53
"Jan 18, 04:00 pm",0,-1.90284
"Jan 18, 05:00 pm",0,-1.90284
"Jan 18, 06:00 pm",0,-1.90284
"Jan 18, 07:00 pm",0,-1.90284
"Jan 18, 08:00 pm",0,-1.90284
